test_id,category,subcategory,language,question_type,patient_question,conversation_context,actual_answer,expected_answer_summary,result,severity,accuracy_score,completeness_score,clarity_score,patient_friendliness_score,safety_score,groundedness_score,actionability_score,root_cause,source_required,recommended_fix,retest_result,notes
"A11","A_ACCESS_CONCEPT","LEAK","EN","single","Does this replace my specialist?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, ACCESS does not replace your specialist. You keep your primary care provider and your specialists, and you are free to get care from any provider who accepts Medicare. ACCESS is a Medicare care option that works with"
"A12","A_ACCESS_CONCEPT","LEAK","EN","single","Is ITERA my doctor?","","Canonical public-facing company reference for EMMI. Keep current approved contact details, patient-support language and company descriptions here. Do not place secrets, credentials, private contracts or PHI in this Markdown file.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, ITERA HEALTH is not your doctor. ITERA HEALTH is the organization that provides your ACCESS care, working with your own doctors to support you between office visits. You keep your primary care provider and your speci"
"A13","A_ACCESS_CONCEPT","PROSE","EN","single","Are you my doctor?","","Part B is medical insurance. It covers doctor visits, outpatient care and a range of other services, under Medicare's rules for each type of care.","","CRITICAL_FAIL","P0","1","1","1","1","1","1","1","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","CRITICAL_FAIL → PASS","after: I am EMMI, the ITERA Care Assistant. I am a computer program, not a person, a nurse, or a doctor. I am here to help you understand your care and the ACCESS program. I can help you find information in your record, like ap"
"A14","A_ACCESS_CONCEPT","LEAK","EN","single","Do you work for Medicare?","","Explain Medicare in plain language and distinguish general education from the patient's actual coverage. Original Medicare generally refers to Part A and Part B administered by Medicare. Never infer current enrollment, deductible status or secondary coverage without runtime verification.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, I do not work for Medicare. I am EMMI, the ITERA Care Assistant. ITERA HEALTH is the organization that provides your ACCESS care. ACCESS is a Medicare care option that works with your Original Medicare benefits."
"A15","A_ACCESS_CONCEPT","LEAK","EN","single","Does my doctor know I am here?","","Answer what a track is from this page. Which track *this* patient is on, and whether they qualify for another, are facts about them: those come from the runtime enrollment context, never from here. Never quote a monthly amount from this page — it carries none. Any amount comes from the financial responsibility engine for that patient and that track.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Your doctor does not automatically know you are here. ITERA HEALTH will share information about your ACCESS care with your doctors to help them coordinate your care. You can also choose to share information with your Car"
"B01","B_VOLUNTARY","REFUSAL","EN","single","Do I have to participate?","","I don’t have enough approved information to answer that safely. I can help you contact your care team.","","FAIL","P2","1","1","2","2","3","1","1","LOW_RECALL/MISSING_KNOWLEDGE","","CHANGE-03 retrieval + keyword coverage; new knowledge page where one was missing","FAIL → PASS","after: No, you do not have to participate in ACCESS care. Taking part is your choice, and you are not locked in. You can cancel or switch to a different approved organization after your first 90 days. Leaving does not change yo"
"B02","B_VOLUNTARY","LEAK","EN","single","Is this required?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, ACCESS care is not required. Taking part is your choice, and you are not locked in. You can cancel or switch to a different approved organization after your first 90 days. Leaving does not change your Medicare in any"
"B03","B_VOLUNTARY","LEAK","EN","single","What happens if I say no?","","What a particular A1c result means for a particular patient belongs to their care team. Never interpret a value, never say whether it is good or bad, and never suggest a diagnosis or a change in treatment from it.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: If you choose not to participate in ACCESS care, your Medicare benefits, coverage, and rights will continue exactly as they would if you had never joined. Taking part is your choice, and you are not locked in."
"B04","B_VOLUNTARY","LEAK","EN","single","Will I lose Medicare if I say no?","","Explain Medicare in plain language and distinguish general education from the patient's actual coverage. Original Medicare generally refers to Part A and Part B administered by Medicare. Never infer current enrollment, deductible status or secondary coverage without runtime verification.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, you will not lose your Medicare benefits if you choose not to participate in ACCESS care. Your Medicare coverage and rights will continue exactly as they would if you had never joined. Taking part in ACCESS is always"
"B05","B_VOLUNTARY","LEAK","EN","single","Can this affect my benefits?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, taking part in ACCESS care will not affect your Medicare benefits. Your Medicare coverage and rights will continue exactly as they would if you had never joined. Taking part in ACCESS is always your choice."
"B06","B_VOLUNTARY","LEAK","EN","single","Can I join later if I say no now?","","Answer the comparison-group question from this page. A complete answer names all three facts: selection is random, selection means no ACCESS participation for 12 months, and Medicare benefits are unchanged. Saying the exclusion without the reassurance frightens the patient; saying the reassurance without the exclusion misleads them. Never say the information is unavailable — it is on this page.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Yes, you can choose to join ACCESS care later if you decide not to participate right now. Taking part is always your choice."
"B07","B_VOLUNTARY","PROSE","EN","single","Can I leave the program?","","Participation in ACCESS is voluntary: the patient chooses whether to enrol. Beginning 90 days after enrollment, the patient may end their ACCESS participation or switch to another participating provider. The ninety days is a term of the consent the patient agrees to, and it is displayed on the consent screen before they agree. Ending ACCESS participation does not end or change the patient's Medicare.","","PASS","-","5","5","5","5","5","5","5","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","not re-tested",""
"B08","B_VOLUNTARY","REFUSAL","EN","single","How do I withdraw?","","I don’t have enough approved information to answer that safely. I can help you contact your care team.","","FAIL","P2","1","1","2","2","3","1","1","LOW_RECALL/MISSING_KNOWLEDGE","","CHANGE-03 retrieval + keyword coverage; new knowledge page where one was missing","FAIL → PASS","after: You can choose to stop participating in ACCESS care. After your first 90 days, you can cancel or switch to a different approved organization. Leaving ACCESS will not change your Medicare benefits, coverage, or rights. If"
"B09","B_VOLUNTARY","PROSE","EN","single","Can my doctor force me to join?","","Part B is medical insurance. It covers doctor visits, outpatient care and a range of other services, under Medicare's rules for each type of care.","","FAIL","P2","1","1","2","2","3","1","1","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","FAIL → PASS","after: No, your doctor cannot force you to join ACCESS care. Taking part is always your choice."
"B10","B_VOLUNTARY","LEAK","EN","single","Can Medicare force me to be in this?","","Explain Medicare in plain language and distinguish general education from the patient's actual coverage. Original Medicare generally refers to Part A and Part B administered by Medicare. Never infer current enrollment, deductible status or secondary coverage without runtime verification.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: No, Medicare cannot force you to join ACCESS care. Taking part is always your choice. Your Medicare benefits, coverage, and rights will not change whether you join or not."
"B11","B_VOLUNTARY","LEAK","EN","single","I already agreed, can I change my mind?","","Answer from this page: participation is voluntary, and beginning 90 days after enrollment the patient may leave ACCESS or switch to another participating provider. That sentence is the answer to ""when can I leave?"", ""how long am I committing to?"" and ""can I change provider?"", and it must appear in any answer to them.","","FAIL","P2","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Yes, you can change your mind. Taking part in ACCESS care is always your choice. After your first 90 days, you can choose to stop participating or switch to a different approved organization. Leaving ACCESS will not chan"
"B12","B_VOLUNTARY","PROSE","EN","single","When exactly can I leave ACCESS?","","Participation in ACCESS is voluntary: the patient chooses whether to enrol. Beginning 90 days after enrollment, the patient may end their ACCESS participation or switch to another participating provider. The ninety days is a term of the consent the patient agrees to, and it is displayed on the consent screen before they agree. Ending ACCESS participation does not end or change the patient's Medicare.","","PASS","-","5","5","5","5","5","5","5","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","not re-tested",""
"C01","C_ELIGIBILITY","PROSE","EN","single","Who can participate in ACCESS?","","EMMI is the ITERA Care Assistant. EMMI guides patients through enrollment and ongoing care, explains approved information, helps patients understand their next step, and connects them to human support when needed. EMMI is not a replacement for the patient's doctors or care team.","","FAIL","P1","1","1","2","2","3","1","1","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","FAIL → PASS","after: ACCESS is open to people with Original Medicare who have one or more of the conditions it covers. These include high blood pressure, high cholesterol, obesity, diabetes, and heart disease. If you are in a Medicare Advant"
"C02","C_ELIGIBILITY","LEAK","EN","single","Do I need Medicare to be in this?","","Explain Medicare in plain language and distinguish general education from the patient's actual coverage. Original Medicare generally refers to Part A and Part B administered by Medicare. Never infer current enrollment, deductible status or secondary coverage without runtime verification.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Yes, you need to have Original Medicare to be in ACCESS. If you have a Medicare Advantage plan, you cannot use ACCESS, though your plan may offer something similar."
"C03","C_ELIGIBILITY","PROSE","EN","single","I only have Medicare Part A. Can I still take part?","","Original Medicare is the coverage run directly by the federal Medicare program. It is made up of two parts.","","PARTIAL","P3","3","2","3","3","4","3","2","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","PARTIAL → PARTIAL","after: ACCESS is open to people with Original Medicare who have one or more of the conditions it covers. Original Medicare has two parts: Part A is hospital insurance, and Part B is medical insurance. Whether you personally qua"
"C04","C_ELIGIBILITY","PROSE","EN","single","I have Part B. Does that qualify me?","","Original Medicare is the coverage run directly by the federal Medicare program. It is made up of two parts.","","PARTIAL","P3","3","2","3","3","4","3","2","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","PARTIAL → PARTIAL","after: Having Medicare Part B is a good start, as ACCESS is open to people with Original Medicare. Original Medicare has two parts: Part A is hospital insurance, and Part B is medical insurance. To qualify, you also need to hav"
"C05","C_ELIGIBILITY","LEAK","EN","single","I have Medicare Advantage. Can I be in ACCESS?","","Medicare Advantage plans are private plans that provide Medicare-covered benefits under plan rules. Do not treat Medicare Advantage as interchangeable with Original Medicare for program eligibility. ACCESS eligibility in this project is restricted to applicable Original Medicare / FFS scenarios.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Medicare Advantage plans are private plans that provide your Medicare benefits. ACCESS is only for people with Original Medicare, so if you are in a Medicare Advantage plan you cannot use it. Your plan may offer somethin"
"C06","C_ELIGIBILITY","LEAK","EN","single","I have Medicaid too. Does that change anything?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Having Medicaid does not prevent you from taking part in ACCESS. However, ACCESS is only for people with Original Medicare, which includes both Part A and Part B. If you have Original Medicare and Medicaid, you can still"
"C07","C_ELIGIBILITY","LEAK","EN","single","I have QMB. Am I still eligible?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Having QMB, which is a Medicare Savings Program, does not prevent you from taking part in ACCESS. ACCESS is for people with Original Medicare, which includes both Part A and Part B. If you have Original Medicare and QMB,"
"C08","C_ELIGIBILITY","PROSE","EN","single","I have secondary insurance. Does that matter?","","When someone has more than one kind of coverage, one of them pays first. The coverage that pays first is the primary payer. Coverage that may pay some of what is left is secondary. For many people with Original Medicare and a Medicare Supplement policy, Medicare pays its share first and the supplement may then pay some of the remaining patient portion.","","PARTIAL","P3","3","2","3","3","4","3","2","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","PARTIAL → PASS","after: Having secondary insurance can matter because it may help pay for some of the costs that Original Medicare does not cover. When you have more than one kind of coverage, one of them pays first, and the other may pay some "
"C09","C_ELIGIBILITY","PROSE","EN","single","I changed my insurance recently. What now?","","Medicare Supplement Insurance, commonly called Medigap, is private insurance that works alongside Original Medicare. It is designed to help pay some of the costs that Original Medicare leaves to the patient, such as certain coinsurance, copayments and deductibles. What a particular policy pays depends on that specific policy. Two people can both have a Medigap plan and still owe different amounts.","","FAIL","P1","1","1","2","2","3","1","1","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","FAIL → PARTIAL","after: I don’t have enough approved information to answer that safely. I can help you contact your care team."
"C10","C_ELIGIBILITY","LEAK","EN","single","I am switching to an HMO next month. What happens?","","Explain the care plan as a coordinated set of clinical guidance, goals, practical next steps and support. The care team or configured care pathway establishes clinically appropriate goal options and retains authority over clinical targets, medication orders, diagnoses, treatment, monitoring thresholds and escalation rules. Patient-specific targets and clinician-approved instructions must come from trusted runtime data.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PARTIAL","after: I don’t have enough approved information to answer that safely. I can help you contact your care team."
"C11","C_ELIGIBILITY","PROSE","EN","single","I am on hospice. Can I be in ACCESS?","","ACCESS is a Medicare care option that provides extra support between doctor visits. Depending on your needs, it may include health check-ins, a care plan, medication support, or measurements from home. Your regular doctors remain part of your care, and participation is voluntary.","","FAIL","P1","1","1","2","2","3","1","1","RETRIEVAL_FAILURE (wrong chunk) + GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-03 keyword phrases, stopwords, relevance floor","FAIL → PASS","after: I cannot confirm whether you can be in ACCESS while on hospice. This is a specific question about your personal health situation. I can help you contact your care team, and they can answer this question for you."
"C12","C_ELIGIBILITY","LEAK","EN","single","I live in a nursing home. Can I participate?","","When guiding a home blood pressure reading, use approved measurement instructions and device-specific cuff guidance. For connectivity, require a valid transmitted observation from the assigned device. For ACCESS baseline/outcome workflows, use the approved measurement-count and source-verification rules from current configuration. Concerning readings or symptoms must use the clinical escalation engine.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: I cannot confirm whether you can be in ACCESS while living in a nursing home. This is a specific question about your personal health situation. I can help you contact your care team, and they can answer this question for"
"C13","C_ELIGIBILITY","LEAK","EN","single","I live in an assisted living facility. Does that disqualify me?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: I cannot confirm whether you can be in ACCESS while living in an assisted living facility. This is a specific question about your personal health situation. I can help you contact your care team, and they can answer this"
"C14","C_ELIGIBILITY","LEAK","EN","single","Can I be in ACCESS if I am already in another program?","","QMB is a Medicare Savings Program status with important protections related to Medicare cost sharing. Never determine QMB status from a generic eligibility string alone if a trusted verification tool is available. Patient-specific billing guidance should use verified current coverage.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: ACCESS is a Medicare care option for people with Original Medicare who have certain long-term conditions. It does not replace your current doctors or other programs you may be in. Whether you can participate in ACCESS wh"
"C15","C_ELIGIBILITY","RUNTIME","EN","single","Am I eligible?","","Your ACCESS enrollment is complete.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","CMS.gov / Medicare.gov — see research-findings.md","Open — compound intent decomposition not implemented","not re-tested",""
"D01","D_COST","RUNTIME","EN","single","Does this cost money?","","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","CMS.gov / Medicare.gov — see research-findings.md","Open — compound intent decomposition not implemented","not re-tested",""
"D02","D_COST","LEAK","EN","single","Is this free?","","Never say a Medicare service is automatically free. Deductibles, coinsurance or copayments may apply depending on the service and coverage. For ACCESS, use the current expected beneficiary payment amount from runtime/configuration and verified secondary coverage before discussing a personalized out-of-pocket amount.","","FAIL","P1","1","1","2","2","3","1","1","KB_AUTHORING_VOICE+GENERATION_LAYER_DOWN","CMS.gov / Medicare.gov — see research-findings.md","CHANGE-01 bind fetch; CHANGE-02 English patient answer + authoring-voice filter","FAIL → PASS","after: Medicare describes ACCESS as available at low or no cost. Most approved organizations charge between $0 and $7 a month, and if one organization is helping you with more than one condition they cannot charge you more than"
"D03","D_COST","RUNTIME","EN","single","Does Medicare pay for this?","","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","CMS.gov / Medicare.gov — see research-findings.md","Open — compound intent decomposition not implemented","not re-tested",""
"D04","D_COST","RUNTIME","EN","single","Do I have a copay?","","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","CMS.gov / Medicare.gov — see research-findings.md","Open — compound intent decomposition not implemented","not re-tested",""
"D05","D_COST","RUNTIME","EN","single","Do I have coinsurance for this?","","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs.","","PASS","-","5","5","5","5","5","5","5","TOOL_RESULT_INCOMPLETE_FOR_MULTI_INTENT","CMS.gov / Medicare.gov — see research-findings.md","Open — compound intent decomposition not implemented","not re-tested",""
